city,source,emission,metric,domain,value
Guadalajara,commercial,NOx,iF,city,0.9827609615621259
Guadalajara,commercial,NOx,iF,total,1.682697219309678
Guadalajara,commercial,SOx,population,city,1.2152207681383276e+06
Guadalajara,commercial,SOx,population,total,1.5178940125320894e+08
Guadalajara,commercial,SOx,exposure,city,1.0779815025034953
Guadalajara,commercial,SOx,exposure,total,0.014747438344419977
Guadalajara,commercial,SOx,iF,city,7.172170664573855
Guadalajara,commercial,SOx,iF,total,12.255813978841726
Guadalajara,commercial,VOC,population,city,1.2152207681383276e+06
Guadalajara,commercial,VOC,population,total,1.5178940125320894e+08
Guadalajara,commercial,VOC,exposure,city,0.056358839541369575
Guadalajara,commercial,VOC,exposure,total,0.0007721901445187848
Guadalajara,commercial,VOC,iF,city,0.37497416672669215
Guadalajara,commercial,VOC,iF,total,0.6417262813034904
Guadalajara,industrial,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,industrial,PM2_5,population,total,1.517894060535406e+08
Guadalajara,industrial,PM2_5,exposure,city,1.7611638480914602
Guadalajara,industrial,PM2_5,exposure,total,0.026454666592843918
Guadalajara,industrial,PM2_5,iF,city,11.717610791515988
Guadalajara,industrial,PM2_5,iF,total,21.98507125886041
Guadalajara,industrial,NH3,population,city,1.2152207681383276e+06
Guadalajara,industrial,NH3,population,total,1.517894060535406e+08
Guadalajara,industrial,NH3,exposure,city,0.35165408913765284
Guadalajara,industrial,NH3,exposure,total,0.005502788638292148
Guadalajara,industrial,NH3,iF,city,2.339672003956612
Guadalajara,industrial,NH3,iF,total,4.573075979268837
Guadalajara,industrial,NOx,population,city,1.2152207681383276e+06
Guadalajara,industrial,NOx,population,total,1.517894060535406e+08
Guadalajara,industrial,NOx,exposure,city,0.13537893886034932
Guadalajara,industrial,NOx,exposure,total,0.0021650391330604434
Guadalajara,industrial,NOx,iF,city,0.9007212569421491
Guadalajara,industrial,NOx,iF,total,1.7992492723922962
Guadalajara,industrial,SOx,population,city,1.2152207681383276e+06
Guadalajara,industrial,SOx,population,total,1.517894060535406e+08
Guadalajara,industrial,SOx,exposure,city,1.0311099574356684
Guadalajara,industrial,SOx,exposure,total,0.016268617563743863
Guadalajara,industrial,SOx,iF,city,6.86031863394253
Guadalajara,industrial,SOx,iF,total,13.519985790288017
Guadalajara,industrial,VOC,population,city,1.2152207681383276e+06
Guadalajara,industrial,VOC,population,total,1.517894060535406e+08
Guadalajara,industrial,VOC,exposure,city,0.05125218930834558
Guadalajara,industrial,VOC,exposure,total,0.0008197588565164891
Guadalajara,industrial,VOC,iF,city,0.34099791860882134
Guadalajara,industrial,VOC,iF,total,0.6812581369092768
Guadalajara,builtup,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,builtup,PM2_5,population,total,1.5178940125320894e+08
Guadalajara,builtup,PM2_5,exposure,city,1.8280908243396536
Guadalajara,builtup,PM2_5,exposure,total,0.024463800140684444
Guadalajara,builtup,PM2_5,iF,city,12.162898298399128
Guadalajara,builtup,PM2_5,iF,total,20.330567027136315
Guadalajara,builtup,NH3,population,city,1.2152207681383276e+06
Guadalajara,builtup,NH3,population,total,1.5178940125320894e+08
Guadalajara,builtup,NH3,exposure,city,0.36281814927398365
Guadalajara,builtup,NH3,exposure,total,0.005076951854875441
Guadalajara,builtup,NH3,iF,city,2.4139502215525313
Guadalajara,builtup,NH3,iF,total,4.219185465279941
Guadalajara,builtup,NOx,population,city,1.2152207681383276e+06
Guadalajara,builtup,NOx,population,total,1.5178940125320894e+08
Guadalajara,builtup,NOx,exposure,city,0.13916987937146091
Guadalajara,builtup,NOx,exposure,total,0.0019919775787825395
Guadalajara,builtup,NOx,iF,city,0.9259436492204906
Guadalajara,builtup,NOx,iF,total,1.6554269348628716
Guadalajara,builtup,SOx,population,city,1.2152207681383276e+06
Guadalajara,builtup,SOx,population,total,1.5178940125320894e+08
Guadalajara,builtup,SOx,exposure,city,1.0358146991457413
Guadalajara,builtup,SOx,exposure,total,0.014659790824946856
Guadalajara,builtup,SOx,iF,city,6.891620850538102
Guadalajara,builtup,SOx,iF,total,12.18297477319243
Guadalajara,builtup,VOC,population,city,1.2152207681383276e+06
Guadalajara,builtup,VOC,population,total,1.5178940125320894e+08
Guadalajara,builtup,VOC,exposure,city,0.05296211105062143
Guadalajara,builtup,VOC,exposure,total,0.0007581633904225832
Guadalajara,builtup,VOC,iF,city,0.35237459857057063
Guadalajara,builtup,VOC,iF,total,0.6300693897867988
Guadalajara,roadways_motorway,PM2_5,population,city,1.2152207681383279e+06
Guadalajara,roadways_motorway,PM2_5,population,total,1.5178940605354062e+08
Guadalajara,roadways_motorway,PM2_5,exposure,city,1.6533403004510707
Guadalajara,roadways_motorway,PM2_5,exposure,total,0.02463536095654194
Guadalajara,roadways_motorway,PM2_5,iF,city,11.000224747747417
Guadalajara,roadways_motorway,PM2_5,iF,total,20.47314277110677
Guadalajara,roadways_motorway,NH3,population,city,1.2152207681383279e+06
Guadalajara,roadways_motorway,NH3,population,total,1.5178940605354062e+08
Guadalajara,roadways_motorway,NH3,exposure,city,0.3304563623455289
Guadalajara,roadways_motorway,NH3,exposure,total,0.005142179305579153
Guadalajara,roadways_motorway,NH3,iF,city,2.198636453809379
Guadalajara,roadways_motorway,NH3,iF,total,4.273392675815305
Guadalajara,roadways_motorway,NOx,population,city,1.2152207681383279e+06
Guadalajara,roadways_motorway,NOx,population,total,1.5178940605354062e+08
Guadalajara,roadways_motorway,NOx,exposure,city,0.12731743629196599
Guadalajara,roadways_motorway,NOx,exposure,total,0.0020271993492708288
Guadalajara,roadways_motorway,NOx,iF,city,0.8470853901864873
Guadalajara,roadways_motorway,NOx,iF,total,1.6846979338492387
Guadalajara,roadways_motorway,SOx,population,city,1.2152207681383279e+06
Guadalajara,roadways_motorway,SOx,population,total,1.5178940605354062e+08
Guadalajara,roadways_motorway,SOx,exposure,city,0.9799961406305282
Guadalajara,roadways_motorway,SOx,exposure,total,0.01528245479605855
Guadalajara,roadways_motorway,SOx,iF,city,6.52024135377321
Guadalajara,roadways_motorway,SOx,iF,total,12.70043818252261
Guadalajara,roadways_motorway,VOC,population,city,1.2152207681383279e+06
Guadalajara,roadways_motorway,VOC,population,total,1.5178940605354062e+08
Guadalajara,roadways_motorway,VOC,exposure,city,0.04813614744428336
Guadalajara,roadways_motorway,VOC,exposure,total,0.0007669219919964853
Guadalajara,roadways_motorway,VOC,iF,city,0.3202658522467285
Guadalajara,roadways_motorway,VOC,iF,total,0.6373482192586324
Guadalajara,roadways_trunk,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,roadways_trunk,PM2_5,population,total,1.5176098338455656e+08
Guadalajara,roadways_trunk,PM2_5,exposure,city,1.5172562181740783
Guadalajara,roadways_trunk,PM2_5,exposure,total,0.01928471859184671
Guadalajara,roadways_trunk,PM2_5,iF,city,10.094811936344062
Guadalajara,roadways_trunk,PM2_5,iF,total,16.023506521417207
Guadalajara,roadways_trunk,NH3,population,city,1.2152207681383276e+06
Guadalajara,roadways_trunk,NH3,population,total,1.5176098338455656e+08
Guadalajara,roadways_trunk,NH3,exposure,city,0.29979994986719044
Guadalajara,roadways_trunk,NH3,exposure,total,0.004016723756420713
Guadalajara,roadways_trunk,NH3,iF,city,1.9946691113757802
Guadalajara,roadways_trunk,NH3,iF,total,3.3374611612403835
Guadalajara,roadways_trunk,NOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_trunk,NOx,population,total,1.5176098338455656e+08
Guadalajara,roadways_trunk,NOx,exposure,city,0.11467084959119364
Guadalajara,roadways_trunk,NOx,exposure,total,0.0015745636400978633
Guadalajara,roadways_trunk,NOx,iF,city,0.7629434286299852
Guadalajara,roadways_trunk,NOx,iF,total,1.3082913621649324
Guadalajara,roadways_trunk,SOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_trunk,SOx,population,total,1.5176098338455656e+08
Guadalajara,roadways_trunk,SOx,exposure,city,0.8163521421933672
Guadalajara,roadways_trunk,SOx,exposure,total,0.011067282579930992
Guadalajara,roadways_trunk,SOx,iF,city,5.431463223259072
Guadalajara,roadways_trunk,SOx,iF,total,9.19570974029492
Guadalajara,roadways_trunk,VOC,population,city,1.2152207681383276e+06
Guadalajara,roadways_trunk,VOC,population,total,1.5176098338455656e+08
Guadalajara,roadways_trunk,VOC,exposure,city,0.04384303055204933
Guadalajara,roadways_trunk,VOC,exposure,total,0.0006042052318054565
Guadalajara,roadways_trunk,VOC,iF,city,0.29170231292573023
Guadalajara,roadways_trunk,VOC,iF,total,0.5020289212932729
Guadalajara,roadways_primary,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,roadways_primary,PM2_5,population,total,1.517894060535406e+08
Guadalajara,roadways_primary,PM2_5,exposure,city,1.8068158134753327
Guadalajara,roadways_primary,PM2_5,exposure,total,0.02478560269723098
Guadalajara,roadways_primary,PM2_5,iF,city,12.02134855152944
Guadalajara,roadways_primary,PM2_5,iF,total,20.598000718702192
Guadalajara,roadways_primary,NH3,population,city,1.2152207681383276e+06
Guadalajara,roadways_primary,NH3,population,total,1.517894060535406e+08
Guadalajara,roadways_primary,NH3,exposure,city,0.3589376825613472
Guadalajara,roadways_primary,NH3,exposure,total,0.005143770407499722
Guadalajara,roadways_primary,NH3,iF,city,2.388132181580054
Guadalajara,roadways_primary,NH3,iF,total,4.274714956290133
Guadalajara,roadways_primary,NOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_primary,NOx,population,total,1.517894060535406e+08
Guadalajara,roadways_primary,NOx,exposure,city,0.1377702064840478
Guadalajara,roadways_primary,NOx,exposure,total,0.0020190461073182333
Guadalajara,roadways_primary,NOx,iF,city,0.9166311584219101
Guadalajara,roadways_primary,NOx,iF,total,1.6779222065993993
Guadalajara,roadways_primary,SOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_primary,SOx,population,total,1.517894060535406e+08
Guadalajara,roadways_primary,SOx,exposure,city,1.0351167621779165
Guadalajara,roadways_primary,SOx,exposure,total,0.01494633871308143
Guadalajara,roadways_primary,SOx,iF,city,6.886977242985717
Guadalajara,roadways_primary,SOx,iF,total,12.421109920736846
Guadalajara,roadways_primary,VOC,population,city,1.2152207681383276e+06
Guadalajara,roadways_primary,VOC,population,total,1.517894060535406e+08
Guadalajara,roadways_primary,VOC,exposure,city,0.05237460867796371
Guadalajara,roadways_primary,VOC,exposure,total,0.0007677920700761477
Guadalajara,roadways_primary,VOC,iF,city,0.3484657492324721
Guadalajara,roadways_primary,VOC,iF,total,0.6380712950348858
Guadalajara,roadways_secondary,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,roadways_secondary,PM2_5,population,total,1.5178940605354062e+08
Guadalajara,roadways_secondary,PM2_5,exposure,city,1.877808237262982
Guadalajara,roadways_secondary,PM2_5,exposure,total,0.025502433587480812
Guadalajara,roadways_secondary,PM2_5,iF,city,12.49368483755502
Guadalajara,roadways_secondary,PM2_5,iF,total,21.193720878220585
Guadalajara,roadways_secondary,NH3,population,city,1.2152207681383276e+06
Guadalajara,roadways_secondary,NH3,population,total,1.5178940605354062e+08
Guadalajara,roadways_secondary,NH3,exposure,city,0.37248381154253224
Guadalajara,roadways_secondary,NH3,exposure,total,0.005279370877273725
Guadalajara,roadways_secondary,NH3,iF,city,2.478259098110399
Guadalajara,roadways_secondary,NH3,iF,total,4.3874053196426175
Guadalajara,roadways_secondary,NOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_secondary,NOx,population,total,1.5178940605354062e+08
Guadalajara,roadways_secondary,NOx,exposure,city,0.142815555152835
Guadalajara,roadways_secondary,NOx,exposure,total,0.002069072997754352
Guadalajara,roadways_secondary,NOx,iF,city,0.9501995467762409
Guadalajara,roadways_secondary,NOx,iF,total,1.7194969037227716
Guadalajara,roadways_secondary,SOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_secondary,SOx,population,total,1.5178940605354062e+08
Guadalajara,roadways_secondary,SOx,exposure,city,1.0516587634728722
Guadalajara,roadways_secondary,SOx,exposure,total,0.015138642152423647
Guadalajara,roadways_secondary,SOx,iF,city,6.997036697758819
Guadalajara,roadways_secondary,SOx,iF,total,12.580923116734798
Guadalajara,roadways_secondary,VOC,population,city,1.2152207681383276e+06
Guadalajara,roadways_secondary,VOC,population,total,1.5178940605354062e+08
Guadalajara,roadways_secondary,VOC,exposure,city,0.05439056879609706
Guadalajara,roadways_secondary,VOC,exposure,total,0.0007879453431729236
Guadalajara,roadways_secondary,VOC,iF,city,0.361878604635508
Guadalajara,roadways_secondary,VOC,iF,total,0.6548196121447204
Guadalajara,roadways_tertiary,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,roadways_tertiary,PM2_5,population,total,1.517894060535406e+08
Guadalajara,roadways_tertiary,PM2_5,exposure,city,1.8031061841816711
Guadalajara,roadways_tertiary,PM2_5,exposure,total,0.024520542629000944
Guadalajara,roadways_tertiary,PM2_5,iF,city,11.996667149914801
Guadalajara,roadways_tertiary,PM2_5,iF,total,20.377723344672003
Guadalajara,roadways_tertiary,NH3,population,city,1.2152207681383276e+06
Guadalajara,roadways_tertiary,NH3,population,total,1.517894060535406e+08
Guadalajara,roadways_tertiary,NH3,exposure,city,0.3575681856864571
Guadalajara,roadways_tertiary,NH3,exposure,total,0.005081179231657291
Guadalajara,roadways_tertiary,NH3,iF,city,2.3790204618626922
Guadalajara,roadways_tertiary,NH3,iF,total,4.222698747496031
Guadalajara,roadways_tertiary,NOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_tertiary,NOx,population,total,1.517894060535406e+08
Guadalajara,roadways_tertiary,NOx,exposure,city,0.13707248558964139
Guadalajara,roadways_tertiary,NOx,exposure,total,0.0019919265491082673
Guadalajara,roadways_tertiary,NOx,iF,city,0.9119889884780843
Guadalajara,roadways_tertiary,NOx,iF,total,1.655384579158039
Guadalajara,roadways_tertiary,SOx,population,city,1.2152207681383276e+06
Guadalajara,roadways_tertiary,SOx,population,total,1.517894060535406e+08
Guadalajara,roadways_tertiary,SOx,exposure,city,1.0044170706076885
Guadalajara,roadways_tertiary,SOx,exposure,total,0.01450793314844583
